# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 6.000000 4.000000 -600.000000 271 19 65
-1000.000000 6.000000 4.000000 -500.000000 271 13 50
-1000.000000 6.000000 4.000000 -400.000000 271 7 35
-1000.000000 6.000000 4.000000 -300.000000 271 7 19
-1000.000000 6.000000 4.000000 -200.000000 271 5 13
-1000.000000 6.000000 4.000000 -100.000000 271 1 7
-1000.000000 6.000000 5.000000 -900.000000 271 62 237
-1000.000000 6.000000 5.000000 -800.000000 271 35 129
-1000.000000 6.000000 5.000000 -700.000000 271 19 85
-1000.000000 6.000000 5.000000 -600.000000 271 17 55
-1000.000000 6.000000 5.000000 -500.000000 271 7 37
-1000.000000 6.000000 5.000000 -400.000000 271 7 25
-1000.000000 6.000000 5.000000 -300.000000 271 7 19
-1000.000000 6.000000 5.000000 -200.000000 271 1 9
-1000.000000 6.000000 5.000000 -100.000000 271 1 7
-1000.000000 6.000000 6.000000 -900.000000 271 55 204
-1000.000000 6.000000 6.000000 -800.000000 271 31 104
-1000.000000 6.000000 6.000000 -700.000000 271 19 65
-1000.000000 6.000000 6.000000 -600.000000 271 13 39
-1000.000000 6.000000 6.000000 -500.000000 271 7 31
-1000.000000 6.000000 6.000000 -400.000000 271 7 19
-1000.000000 6.000000 6.000000 -300.000000 271 5 13
-1000.000000 6.000000 6.000000 -200.000000 271 1 7
-1000.000000 6.000000 6.000000 -100.000000 271 1 7
-1000.000000 6.000000 8.000000 -900.000000 271 37 142
-1000.000000 6.000000 8.000000 -800.000000 271 19 70
-1000.000000 6.000000 8.000000 -700.000000 271 13 39
-1000.000000 6.000000 8.000000 -600.000000 271 7 31
-1000.000000 6.000000 8.000000 -500.000000 271 7 19
-1000.000000 6.000000 8.000000 -400.000000 271 5 13
-1000.000000 6.000000 8.000000 -300.000000 271 1 7
-1000.000000 6.000000 8.000000 -200.000000 271 1 7
-1000.000000 6.000000 8.000000 -100.000000 271 1 1
-1000.000000 7.000000 1.000000 -900.000000 271 57 215
-1000.000000 7.000000 1.000000 -800.000000 271 39 160
-1000.000000 7.000000 1.000000 -700.000000 271 35 119
-1000.000000 7.000000 1.000000 -600.000000 271 23 94
-1000.000000 7.000000 1.000000 -500.000000 271 19 67
-1000.000000 7.000000 1.000000 -400.000000 271 16 55
-1000.000000 7.000000 1.000000 -300.000000 271 9 37
-1000.000000 7.000000 1.000000 -200.000000 271 7 31
-1000.000000 7.000000 1.000000 -100.000000 271 7 19
-1000.000000 7.000000 2.000000 -900.000000 271 64 248
-1000.000000 7.000000 2.000000 -800.000000 271 42 174
-1000.000000 7.000000 2.000000 -700.000000 271 33 123
-1000.000000 7.000000 2.000000 -600.000000 271 19 89
-1000.000000 7.000000 2.000000 -500.000000 271 19 65
-1000.000000 7.000000 2.000000 -400.000000 271 13 51
-1000.000000 7.000000 2.000000 -300.000000 271 7 35
-1000.000000 7.000000 2.000000 -200.000000 271 7 19
-1000.000000 7.000000 2.000000 -100.000000 271 5 13
-1000.000000 7.000000 3.500000 -900.000000 271 60 228
-1000.000000 7.000000 3.500000 -800.000000 271 37 147
-1000.000000 7.000000 3.500000 -700.000000 271 27 97
-1000.000000 7.000000 3.500000 -600.000000 271 19 65
-1000.000000 7.000000 3.500000 -500.000000 271 13 51
-1000.000000 7.000000 3.500000 -400.000000 271 7 36
-1000.000000 7.000000 3.500000 -300.000000 271 7 22
-1000.000000 7.000000 3.500000 -200.000000 271 7 19
-1000.000000 7.000000 3.500000 -100.000000 271 1 7
-1000.000000 7.000000 4.000000 -900.000000 271 59 218
-1000.000000 7.000000 4.000000 -800.000000 271 37 133
-1000.000000 7.000000 4.000000 -700.000000 271 21 89
-1000.000000 7.000000 4.000000 -600.000000 271 19 61
-1000.000000 7.000000 4.000000 -500.000000 271 13 39
-1000.000000 7.000000 4.000000 -400.000000 271 7 31
-1000.000000 7.000000 4.000000 -300.000000 271 7 19
-1000.000000 7.000000 4.000000 -200.000000 271 5 13
-1000.000000 7.000000 4.000000 -100.000000 271 1 7
-1000.000000 7.000000 5.000000 -900.000000 271 52 193
-1000.000000 7.000000 5.000000 -800.000000 271 31 117
-1000.000000 7.000000 5.000000 -700.000000 271 19 77
-1000.000000 7.000000 5.000000 -600.000000 271 13 55
-1000.000000 7.000000 5.000000 -500.000000 271 7 37
-1000.000000 7.000000 5.000000 -400.000000 271 7 23
-1000.000000 7.000000 5.000000 -300.000000 271 7 19
-1000.000000 7.000000 5.000000 -200.000000 271 1 9
-1000.000000 7.000000 5.000000 -100.000000 271 1 7
-1000.000000 7.000000 6.000000 -900.000000 271 39 164
-1000.000000 7.000000 6.000000 -800.000000 271 23 92
-1000.000000 7.000000 6.000000 -700.000000 271 19 59
-1000.000000 7.000000 6.000000 -600.000000 271 9 39
-1000.000000 7.000000 6.000000 -500.000000 271 7 31
-1000.000000 7.000000 6.000000 -400.000000 271 7 19
-1000.000000 7.000000 6.000000 -300.000000 271 5 13
-1000.000000 7.000000 6.000000 -200.000000 271 1 7
-1000.000000 7.000000 6.000000 -100.000000 271 1 7
